Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude
330848,270,4.0,26.0,81.0,-1.0907,0,27.10695183,83.70514755
330851,520,53.0,53.0,80.0,-0.34411,0,29.67577485,77.52871592
330855,80,14.0,8.0,0.0,-1.01549,0,26.72458449,82.75623537
330862,155,14.0,15.0,2.0,-0.379945,0,27.55569016,79.32590349
330866,525,45.0,61.0,73.0,-0.71952,0,25.74359485,79.69433918
330869,485,43.0,49.0,63.0,-0.46476,0,27.52525508,78.13331549
330886,755,37.0,49.0,95.0,-1.08682,0,25.60147741,80.83712039
330891,489,22.0,57.0,75.0,-1.20662,0,26.55953307,81.74952013
330893,30,0.0,6.0,0.0,-1.38763,0,26.10693119,83.79668907
330897,985,65.0,86.0,192.0,-1.22445,0,26.25874374,81.28273525
330913,450,39.0,43.0,62.0,-0.60458,0,25.37682954,82.3415415
330921,490,39.0,47.0,4.0,-1.1264,0,28.96357417,77.70076917
330929,155,0.0,13.0,15.0,-1.60227,0,26.9225279,81.85472977
330936,500,47.0,39.0,116.0,0.48979,0,27.32238104,78.26187622
330941,345,9.0,45.0,65.0,-0.7074,0,26.53757051,80.0404502
330954,100,5.0,5.0,3.0,1.59907,0,28.47180742,77.57400962
330963,185,19.0,32.0,37.0,-0.66754,0,28.25931998,79.43111417
330977,1525,76.0,63.0,116.0,-0.85711,0,26.96143331,77.99349722
330979,2135,60.0,65.0,70.0,-0.78372,0,26.99379196,78.53817115
330992,190,15.0,22.0,17.0,-0.89875,0,28.51460242,78.47350732
330999,260,14.0,26.0,27.0,-0.53547,0,28.76783309,78.75334709
331003,50,2.0,10.0,30.0,-0.53756,0,27.05298859,79.91810206
331005,115,13.0,13.0,40.0,1.09379,0,29.03941904,77.55641528
331009,1170,66.0,81.0,141.0,-1.13334,0,25.2853419,82.52835005
331031,605,73.0,65.0,165.0,-0.85627,0,27.24097052,79.07637058
331035,1080,55.0,65.0,123.0,0.62964,0,25.28712928,82.21438961
331039,215,31.0,24.0,33.0,0.77044,0,29.78302753,77.26564361
331040,1565,76.0,83.0,134.0,-0.80517,0,27.41423361,78.52099751
331054,25,5.0,5.0,1.0,0.2807,0,28.40814833,77.57752909999999
331056,40,8.0,8.0,5.0,0.15494,0,29.22133148,77.933607
331060,255,16.0,16.0,32.0,-0.46743999999999997,0,27.44785943,77.6921218
331068,5,1.0,1.0,0.0,0.35437,0,28.903709399999997,78.46518634
331083,71,0.0,7.0,9.0,-1.40043,0,26.59202562,82.32860067
331092,1095,53.0,65.0,123.0,-1.09307,0,25.603540300000002,81.42530183
331094,70,2.0,6.0,0.0,-1.2193,0,27.2009822,82.44350935
331098,1160,41.0,57.0,106.0,-1.16174,0,25.18933115,80.91662996
331107,275,0.0,13.0,30.0,-1.49593,0,27.84706343,80.09280258
331121,120,5.0,10.0,0.0,-1.43476,0,25.69731605,82.27461932
331125,120,11.0,16.0,22.0,-0.82903,0,29.65668428,77.69359848
331129,45,0.0,9.0,9.0,-1.01355,0,28.56759963,77.81148829
331137,150,21.0,12.0,19.0,-0.91953,0,28.23490424,78.36650505
331142,15,0.0,3.0,0.0,-1.40264,0,27.30465547,82.00641411
331147,15,3.0,3.0,0.0,0.6178,0,25.68516076,80.11999132
331154,1035,65.0,75.0,115.0,-0.71888,0,28.99082203,78.92223118
331158,380,36.0,36.0,49.0,1.76585,0,27.51086045,77.66911540000001
331160,370,22.0,19.0,48.0,0.56604,0,24.677046100000002,78.40791699
331162,250,10.0,10.0,17.0,-0.25382499999999997,0,25.42759304,78.58203981
331176,1075,35.0,89.0,164.0,-1.28054,1,25.41080351,81.45473828
331179,60,3.0,3.0,0.0,-1.33782,0,26.65656778,81.82810548
331180,275,22.0,26.0,34.0,-1.29348,0,27.40682774,78.56585819
331182,255,24.0,26.0,19.0,-0.72163,0,28.04654856,77.96455348
331195,155,12.0,20.0,64.0,-1.13744,0,26.37747037,82.8215512
331196,320,20.0,17.0,41.0,0.49149,0,28.96841211,77.57038615
331199,2320,35.0,103.0,161.0,-1.43561,0,24.39105469,83.28837897
331219,145,0.0,21.0,58.0,-1.51286,0,28.44729418,78.77963787
331222,885,70.0,75.0,146.0,-0.80507,0,25.29414264,82.64819703
331223,75,8.0,7.0,30.0,-1.44837,0,25.74540765,84.10468131
331229,145,15.0,19.0,16.0,-0.53703,0,28.49664298,78.41878834
331233,165,14.0,14.0,13.0,0.96819,0,26.84023334,80.92331204
331235,9,3.0,3.0,0.0,-1.14924,0,25.76542043,83.57391637
331246,90,50.0,50.0,89.0,1.62497,0,27.15879001,77.9291641
331253,835,12.0,67.0,78.0,-1.11911,0,25.97826176,80.520444
331264,80,10.0,10.0,3.0,-0.28797,0,28.87156358,78.39125838
331267,15,0.0,1.0,0.0,-1.50113,0,28.93708362,77.52743298
331268,30,0.0,6.0,19.0,-1.32047,0,27.82696952,79.42701217
331274,375,36.0,38.0,56.0,-0.042675,0,29.14557477,77.66796059999999
331286,245,27.0,31.0,72.0,-0.24551,0,29.24143221,77.65325198
331291,350,20.0,28.0,75.0,-0.99156,0,29.72114598,77.51546527
331299,380,25.0,25.0,20.0,-0.39264,0,26.39061464,80.38327019
331311,670,37.0,79.0,188.0,-0.82748,0,27.69943016,78.5343406
331317,535,42.0,42.0,66.0,-1.16714,0,26.82368467,78.7066295
331318,310,6.0,27.0,67.0,-1.32751,0,26.46926452,79.79570063
331321,1162,66.0,64.0,92.0,-0.48428,0,25.90462764,79.41690481
331327,135,13.0,20.0,29.0,-0.61821,0,25.65541723,82.19799907
331330,785,6.0,56.0,99.0,-1.23264,0,27.43901852,80.25512851
331334,40,0.0,4.0,0.0,-1.64373,0,27.97481065,81.54345814
331339,775,27.0,69.0,166.0,-1.02323,0,25.40475883,83.31053848
331347,105,15.0,15.0,19.0,-0.64832,0,26.01602358,83.84770041
331349,210,10.0,16.0,10.0,0.40029,0,29.30926619,78.39248809
331352,330,28.0,28.0,13.0,0.73288,0,28.88375299,78.72889235
331354,200,15.0,15.0,38.0,-0.07127,0,28.94355238,78.70097953
331355,85,3.0,9.0,4.0,-0.87089,1,27.18697891,81.25520731
331361,350,28.0,28.0,25.0,-0.04709,0,28.82218637,77.40205001
331366,85,21.0,21.0,32.0,0.84508,0,26.2354012,81.24853283
331370,305,0.0,20.0,58.0,-1.00258,0,27.79301411,78.72090906
331371,505,31.0,46.0,95.0,0.03289,0,27.27028478,79.633213
331374,25,5.0,5.0,21.0,0.30527,0,28.86152721,77.27409789
331380,165,16.0,32.0,27.0,-1.02014,0,25.9714518,83.11063994
331382,70,7.0,7.0,13.0,-0.91345,0,28.04331852,80.65645054
331390,1020,40.0,48.0,82.0,-0.45359,0,27.49862563,78.18050348
331396,5,0.0,0.0,0.0,-1.6198,0,27.65944055,81.39419253
331411,848,73.0,82.0,110.0,-0.6900649999999999,0,25.36667919,82.60794669
331413,70,0.0,7.0,0.0,-1.60896,0,26.7078393,82.11436309999999
331415,1800,77.0,80.0,70.0,-0.47077,0,25.62654672,79.10664792
331416,1230,62.0,68.0,149.0,-0.60675,0,24.58026294,78.74753051
331420,570,36.0,61.0,65.0,-0.76043,0,25.81231265,81.34729567
331442,765,53.0,66.0,112.0,-0.43053,0,25.38312281,83.05448336
331454,260,4.0,8.0,16.0,-1.48227,0,27.893870500000002,80.49095079
331460,100,5.0,0.0,8.0,-0.2148,0,29.96837237,77.51353943
331462,214,0.0,29.0,22.0,-1.18729,0,27.16606211,82.40184829
331465,105,6.0,6.0,0.0,0.38155,0,28.88423358,78.75159579
331466,174,0.0,19.0,28.0,-1.69568,0,26.95543754,80.03634811
331468,780,33.0,45.0,69.0,-1.42502,0,25.79117398,79.88072647
331474,370,17.0,29.0,28.0,-0.44664,0,25.45998196,82.42300995
331478,185,5.0,11.0,35.0,-1.32281,0,26.64596176,79.54972895
331486,1325,108.0,90.0,143.0,-0.90489,0,27.06313584,79.65795699
331500,610,42.0,52.0,87.0,-0.72962,0,26.31091067,80.46621223
331501,80,8.0,8.0,14.0,-0.67504,0,28.28600205,79.81020782
331504,25,6.0,6.0,12.0,0.69915,0,28.42106851,79.35672696
331522,175,16.0,18.0,15.0,-1.23244,0,27.05428715,81.4092671
331530,335,0.0,15.0,0.0,-0.63547,0,28.07339853,78.75918743
331534,20,0.0,0.0,0.0,-1.67482,0,26.01271583,84.08171125
331540,650,29.0,48.0,226.0,-0.96029,0,27.3171887,78.42811357
331542,520,39.0,42.0,48.0,-0.65116,0,26.79113124,79.11178995
331543,460,25.0,32.0,41.0,-0.91106,0,25.58500481,79.68027487
331552,305,7.0,17.0,0.0,-0.72541,0,28.746633600000003,79.20945104
331554,725,68.0,80.0,148.0,-0.81292,0,24.87680767,78.2849596
331572,445,50.0,50.0,68.0,-0.12528,0,29.71473059,77.35092188
331575,440,33.0,50.0,14.0,-0.51257,0,27.86715943,78.04555566
331583,220,16.0,30.0,68.0,-0.4776,0,27.4341161,78.34676505
331597,230,15.0,22.0,19.0,0.95851,0,28.61195423,77.4248708
331608,175,10.0,8.0,8.0,0.57461,0,28.69164577,77.41607164
331610,1110,72.0,84.0,95.0,-1.14167,0,24.86787159,78.38497547
331614,381,40.0,40.0,69.0,0.11863,0,25.99441244,79.14899782
331616,650,66.0,66.0,14.0,0.2261,0,28.53709696,77.42186565
331618,90,0.0,6.0,6.0,-1.63913,0,26.08427165,82.68431452
331622,160,10.0,10.0,13.0,-0.16679,0,25.41154615,83.56178318
331623,15,0.0,3.0,9.0,-0.72841,0,28.89601882,79.16496075
331630,235,35.0,35.0,44.0,-0.69537,0,27.41991382,77.92127217
331636,190,23.0,23.0,70.0,-0.77321,0,28.68007062,77.82544922
331638,475,51.0,51.0,27.0,-0.55335,0,28.98510972,79.21539191
331648,925,76.0,73.0,127.0,0.56822,0,26.47315988,80.3637693
331654,155,20.0,20.0,37.0,-0.2947,0,25.95153422,83.74951298
331657,1720,94.0,95.0,114.0,0.51292,0,27.20784904,77.91954086
331661,585,38.0,42.0,55.0,-0.97099,0,27.87031456,78.00918744
331679,870,30.0,51.0,127.0,-0.96716,0,25.14140165,79.12591011
331683,480,53.0,52.0,79.0,0.55929,0,26.45404078,80.34064155
331696,30,0.0,2.0,0.0,-1.21115,0,28.76291555,79.11753172
331699,25,5.0,5.0,26.0,-0.82317,0,26.41927995,83.67389486
331703,760,35.0,76.0,111.0,-0.8953500000000001,0,26.98734621,80.59355365
331704,1485,38.0,60.0,124.0,-1.19115,0,24.43492466,78.50229335
331713,120,12.0,12.0,26.0,-0.23833,0,25.46532403,82.53636662
331720,160,13.0,19.0,20.0,-0.27625,0,29.11860094,78.42291535
331722,750,49.0,56.0,79.0,-0.55936,0,28.88370439,78.30796546
331725,690,50.0,69.0,95.0,-0.61996,0,29.28408202,77.16749215
331737,20,5.0,5.0,6.0,-0.21065,0,27.20371302,77.87882751
331743,230,20.0,14.0,8.0,-0.4399,0,28.79092788,77.69472867
331746,474,68.0,64.0,155.0,-0.42547,0,26.24677855,81.0094451
331752,175,7.0,17.0,22.0,-1.29238,0,28.19197141,78.76297682
331755,175,15.0,15.0,36.0,-0.40327,0,26.38079793,81.85991962
331756,165,5.0,12.0,3.0,-1.307,0,28.91173281,78.7351386
331768,630,30.0,23.0,66.0,-0.67081,0,28.9800886,78.37221224
331783,4290,74.0,93.0,236.0,-0.98504,0,25.27635262,81.00992032
331786,95,7.0,11.0,32.0,-1.11699,0,26.00357494,83.32410964
331791,295,37.0,37.0,10.0,0.96116,0,28.454818900000003,77.48842565
331794,225,29.0,32.0,74.0,-0.74104,0,27.66756661,78.2152711
331795,500,37.0,43.0,78.0,-0.29742,0,25.2575076,82.86423899
331796,255,0.0,20.0,45.0,-1.4229,0,26.25866434,84.06286928
331803,255,19.0,19.0,28.0,0.16181,0,28.82197831,78.71938642
331819,319,40.0,40.0,64.0,0.55749,0,26.57247768,81.22598178
331821,65,5.0,5.0,5.0,0.1107,0,25.47907648,78.65985982
331824,515,33.0,39.0,87.0,-1.17371,0,26.42731992,81.90545434
331833,480,24.0,32.0,24.0,-0.78996,0,25.56598953,78.93031769
331836,40,0.0,5.0,0.0,-1.1861,0,27.75438686,81.73112941
331850,140,18.0,18.0,39.0,-0.16773,0,28.76965666,78.54116565
331859,720,29.0,59.0,119.0,-1.22373,0,27.30243266,79.56497133
331861,95,15.0,15.0,21.0,0.76986,0,29.973144,77.54933814
331870,60,0.0,8.0,9.0,-1.45866,0,27.08726691,79.89751654
331872,655,35.0,64.0,85.0,-0.7294,0,26.69375299,81.34821233
331876,340,18.0,38.0,80.0,-0.45252,0,26.58326137,80.107924
331911,380,16.0,18.0,34.0,-0.17873,0,28.07289615,80.13545499
331916,720,41.0,48.0,56.0,-0.83608,0,25.99429786,79.14721778
331934,0,5.0,5.0,0.0,0.8685,0,27.15126269,78.40998217
331935,370,14.0,14.0,12.0,0.88792,0,26.48630613,83.77075534
331952,926,22.0,61.0,23.0,-1.483155,0,25.48573597,80.57812651
331953,320,17.0,17.0,36.0,0.1335,0,26.52320373,80.45264561
331962,155,9.0,15.0,36.0,-0.74319,0,25.79370508,84.44077471
