,id,max_light,min_light,mean_light,median_light,std_light,Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude,geometry
5718,291182.0,10.0,0.0,1.31,0.0,2.798910502320501,291182,200,5.0,0.0,0.0,-1.32976,0,27.71653805,73.00591787,POINT (73.00591787 27.71653805)
5719,291186.0,0.0,0.0,0.0,0.0,0.0,291186,540,15.0,18.0,14.0,-0.79297,0,26.55266369,72.02494240000001,POINT (72.02494240000001 26.55266369)
5720,291188.0,6.0,0.0,0.12,0.0,0.84,291188,1118,75.0,75.0,134.0,0.9993,0,24.21649891,74.79403628,POINT (74.79403628 24.21649891)
5721,291192.0,5.0,0.0,0.1,0.0,0.7000000000000003,291192,1450,57.0,57.0,51.0,0.52689,0,26.13382209,73.32794932,POINT (73.32794932 26.13382209)
5722,291193.0,40.0,5.0,13.28,9.5,8.71559521776912,291193,300,10.0,10.0,35.0,0.31841,0,28.02169248,74.47116334,POINT (74.47116334 28.02169248)
5723,291194.0,0.0,0.0,0.0,0.0,0.0,291194,6380,64.0,124.0,158.0,-1.46202,0,24.14544208,73.40920781,POINT (73.40920781 24.14544208)
5724,291198.0,6.0,0.0,0.84,0.0,2.008581589082206,291198,1140,56.0,56.0,66.0,-0.41432,0,24.73672924,72.45164831,POINT (72.45164831 24.73672924)
5725,291199.0,12.0,0.0,4.86,6.0,3.3941714747490295,291199,3755,104.0,101.0,114.0,-0.3002,0,24.94527007,74.31121707,POINT (74.31121707 24.94527007)
5726,291206.0,11.0,0.0,6.95,7.0,2.237744400060025,291206,2050,72.0,72.0,101.0,-0.99253,0,26.63431611,77.09054623,POINT (77.09054623 26.63431611)
5727,291207.0,46.0,6.0,11.77,9.0,8.293196006365699,291207,2240,68.0,68.0,115.0,0.19217,0,26.66946865,74.83355025,POINT (74.83355025 26.66946865)
5728,291210.0,7.0,0.0,0.86,0.0,2.1448543074064492,291210,2320,5.0,51.0,26.0,-1.26733,0,25.86161183,71.22286311,POINT (71.22286311 25.86161183)
5729,291211.0,55.0,12.0,27.39,23.0,11.44280996958352,291211,625,26.0,30.0,60.0,-0.52054,0,27.041217600000003,76.55828659999999,POINT (76.55828659999999 27.041217600000003)
5730,291212.0,5.0,0.0,0.05,0.0,0.4974937185533102,291212,2945,76.0,81.0,85.0,0.22922,1,26.44622568,75.57361941,POINT (75.57361941 26.44622568)
5731,291218.0,62.0,10.0,35.35,33.0,16.845993588981326,291218,660,11.0,11.0,12.0,1.38829,0,26.11378449,74.3062085,POINT (74.3062085 26.11378449)
5732,291219.0,6.0,0.0,3.69,5.0,2.6218123502646025,291219,1990,69.0,70.0,91.0,-0.25561,0,28.7524989,75.03327334,POINT (75.03327334 28.7524989)
5733,291223.0,10.0,0.0,4.6,6.0,2.7784887978899615,291223,1195,51.0,45.0,100.0,-0.72296,0,23.9105623,74.0497342,POINT (74.0497342 23.9105623)
5734,291225.0,33.0,11.0,18.99,18.0,3.861333966390372,291225,690,50.0,49.0,99.0,-0.33814,0,26.97009343,76.85406076,POINT (76.85406076 26.97009343)
5735,291229.0,14.0,0.0,5.96,6.0,3.6025546491344165,291229,2200,28.0,63.0,134.0,-1.37403,0,23.21363525,74.42422734,POINT (74.42422734 23.21363525)
5736,291231.0,39.0,0.0,7.84,6.0,8.84615170568536,291231,1530,84.0,89.0,74.0,0.16867,0,26.19205442,73.90076197,POINT (73.90076197 26.19205442)
5737,291243.0,32.0,9.0,14.08,12.5,4.58624029025955,291243,1485,67.0,71.0,104.0,-0.72009,0,28.06626155,75.76340479,POINT (75.76340479 28.06626155)
5738,291252.0,6.0,0.0,0.24,0.0,1.1757550765359257,291252,7825,31.0,76.0,92.0,-1.45189,0,23.185914,74.57944328,POINT (74.57944328 23.185914)
5739,291257.0,22.0,11.0,16.58,17.0,2.9297781485976033,291257,2120,56.0,56.0,103.0,-0.678185,0,26.92395689,76.92411158,POINT (76.92411158 26.92395689)
5740,291260.0,52.0,0.0,19.28,16.0,13.074463660127709,291260,20,4.0,4.0,6.0,0.96363,0,25.34172562,72.63434478,POINT (72.63434478 25.34172562)
5741,291263.0,7.0,0.0,0.8,0.0,2.073644135332772,291263,5505,76.0,90.0,81.0,-1.03305,0,24.49697972,76.82536937,POINT (76.82536937 24.49697972)
5742,291264.0,9.0,0.0,1.79,0.0,3.000983172228728,291264,2955,69.0,77.0,86.0,-0.61633,0,24.62452906,72.83973261,POINT (72.83973261 24.62452906)
5743,291265.0,11.0,0.0,0.97,0.0,2.7072310577414704,291265,1140,37.0,44.0,61.0,-0.88059,0,26.43066954,71.95570263,POINT (71.95570263 26.43066954)
5744,291268.0,30.0,0.0,5.31,6.0,5.380882827194809,291268,400,20.0,18.0,42.0,-0.82848,0,28.34013765,74.89734352,POINT (74.89734352 28.34013765)
5745,291270.0,8.0,0.0,0.21,0.0,1.2024558203942464,291270,2475,59.0,60.0,95.0,-1.07972,0,23.97441344,75.77888065,POINT (75.77888065 23.97441344)
5746,291276.0,63.0,35.0,60.99,63.0,5.413861837912009,291276,120,4.0,4.0,0.0,1.06124,0,26.293973699999995,73.00899270000001,POINT (73.00899270000001 26.293973699999995)
5747,291279.0,9.0,0.0,3.47,5.0,3.3747740665117116,291279,2065,50.0,60.0,144.0,-0.5263,0,25.6998972,75.66324788,POINT (75.66324788 25.6998972)
5748,291281.0,29.0,0.0,11.04,9.0,6.143158796580145,291281,540,12.0,12.0,10.0,-0.33438,0,24.73071077,76.39746656,POINT (76.39746656 24.73071077)
5749,291286.0,20.0,0.0,7.58,8.0,5.093486036105332,291286,150,0.0,5.0,0.0,-1.06661,0,27.63991743,73.63106556,POINT (73.63106556 27.63991743)
5750,291291.0,10.0,0.0,5.62,6.0,2.656237941149098,291291,1005,28.0,23.0,30.0,-1.05135,0,24.84840053,73.94284724,POINT (73.94284724 24.84840053)
5751,291295.0,0.0,0.0,0.0,0.0,0.0,291295,2220,50.0,91.0,79.0,-0.90178,0,27.76724413,71.6162077,POINT (71.6162077 27.76724413)
5752,291300.0,12.0,0.0,6.32,7.0,2.9795301643044327,291300,1125,65.0,55.0,150.0,-0.65229,0,25.255067,76.10682467,POINT (76.10682467 25.255067)
5753,291304.0,19.0,6.0,11.96,12.0,2.7889783075527856,291304,575,32.0,28.0,40.0,0.010135,0,27.21061383,76.01044673,POINT (76.01044673 27.21061383)
5754,291310.0,8.0,0.0,4.02,6.0,3.152713117300716,291310,775,65.0,65.0,57.0,-0.67464,0,23.5304082,73.74213059,POINT (73.74213059 23.5304082)
5755,291314.0,6.0,0.0,0.6,0.0,1.7146428199482249,291314,1290,43.0,39.0,94.0,-0.83684,0,25.73117256,75.11046304,POINT (75.11046304 25.73117256)
5756,291317.0,0.0,0.0,0.0,0.0,0.0,291317,1900,12.0,57.0,79.0,-1.49504,0,25.33710181,71.41855005,POINT (71.41855005 25.33710181)
5757,291321.0,15.0,0.0,5.05,6.0,4.21515124283815,291321,770,24.0,33.0,55.0,-0.91119,0,23.79121598,73.56986311,POINT (73.56986311 23.79121598)
5758,291324.0,6.0,0.0,0.7,0.0,1.9000000000000001,291324,685,25.0,21.0,35.0,-0.19157,0,25.41609079,74.97197247,POINT (74.97197247 25.41609079)
5759,291325.0,63.0,13.0,43.53,45.0,15.154837511501071,291325,25,5.0,5.0,0.0,-0.44236,0,29.93568937,73.88373874,POINT (73.88373874 29.93568937)
5760,291328.0,6.0,0.0,2.2,0.0,2.76767050061961,291328,1665,97.0,86.0,162.0,-0.95699,0,26.6660048,77.48836062,POINT (77.48836062 26.6660048)
5761,291329.0,46.0,0.0,4.42,0.0,9.66558844561468,291329,1395,53.0,53.0,82.0,-0.33255,0,25.72292946,75.17412833,POINT (75.17412833 25.72292946)
5762,291331.0,54.0,7.0,20.16,16.5,12.04551368767642,291331,75,5.0,5.0,2.0,-0.69622,0,29.50006293,74.09308035,POINT (74.09308035 29.50006293)
5763,291342.0,20.0,0.0,8.18,7.0,4.8195020489673,291342,0,2.0,2.0,0.0,0.11868,0,24.13417951,74.05029183,POINT (74.05029183 24.13417951)
5764,291346.0,0.0,0.0,0.0,0.0,0.0,291346,1940,67.0,65.0,72.0,-0.55223,0,26.20288937,75.61639791,POINT (75.61639791 26.20288937)
5765,291354.0,52.0,0.0,16.4,10.0,14.241488686229399,291354,245,10.0,9.0,41.0,-0.74974,0,25.35537507,72.64773467,POINT (72.64773467 25.35537507)
5766,291358.0,9.0,0.0,1.14,0.0,2.735031992500271,291358,3030,89.0,100.0,189.0,-1.08434,0,23.71187925,74.82382088,POINT (74.82382088 23.71187925)
5767,291361.0,48.0,8.0,17.96,13.0,10.77304042506107,291361,770,31.0,31.0,12.0,-0.03654,0,26.93923348,77.29768833,POINT (77.29768833 26.93923348)
5768,291362.0,63.0,12.0,38.94,35.5,17.016356836879037,291362,120,24.0,24.0,29.0,0.32241,0,25.18521011,75.91409413,POINT (75.91409413 25.18521011)
5769,291364.0,7.0,0.0,3.07,5.0,3.0372849718128196,291364,1760,65.0,65.0,73.0,-0.6533,0,24.37238746,73.97034771,POINT (73.97034771 24.37238746)
